"","prev.gene","next.gene","start","end","V5","V6"
"1","transcript_id gene-PA0012; gene_id gene-PA0012","transcript_id gene-PA0013; gene_id gene-PA0013","15473","15620","15503","15588"
"2","transcript_id gene-PA0041a; gene_id gene-PA0041a","transcript_id gene-PA0042; gene_id gene-PA0042","54822","56546","55273","55324"
"3","transcript_id gene-PA0052; gene_id gene-PA0052","transcript_id gene-PA0054; gene_id gene-PA0054","68616","69543","69051","69105"
"4","transcript_id gene-PA0116; gene_id gene-PA0116","transcript_id gene-PA0117; gene_id gene-PA0117","136991","137248","137145","137219"
"5","transcript_id gene-PA0148; gene_id gene-PA0148","transcript_id gene-PA0149; gene_id gene-PA0149","169163","169361","169193","169332"
"6","transcript_id gene-PA0194; gene_id gene-PA0194","transcript_id gene-PA0195; gene_id gene-PA0195; gene_name pntAA","223454","224101","223798","224057"
"7","transcript_id gene-PA0259; gene_id gene-PA0259","transcript_id gene-PA0260; gene_id gene-PA0260","291004","291154","291034","291123"
"8","transcript_id rna-PA0263.1; gene_id gene-PA0263.1","transcript_id gene-PA0265; gene_id gene-PA0265; gene_name gabD","298892","299522","299147","299267"
"9","transcript_id gene-PA0290; gene_id gene-PA0290","transcript_id gene-PA0291; gene_id gene-PA0291; gene_name oprE","326671","327284","326988","327039"
"10","transcript_id gene-PA0296; gene_id gene-PA0296; gene_name spuI","transcript_id gene-PA0297; gene_id gene-PA0297; gene_name spuA","334455","334734","334571","334690"
"11","transcript_id gene-PA0394; gene_id gene-PA0394","transcript_id gene-PA0395; gene_id gene-PA0395; gene_name pilT","436355","436570","436385","436521"
"12","transcript_id gene-PA0458; gene_id gene-PA0458","transcript_id gene-PA0459; gene_id gene-PA0459","517462","518083","517786","517837"
"13","transcript_id gene-PA0541; gene_id gene-PA0541","transcript_id gene-PA0542; gene_id gene-PA0542","599565","599757","599645","599727"
"14","transcript_id gene-PA0572; gene_id gene-PA0572","transcript_id gene-PA0573; gene_id gene-PA0573","627765","628335","628102","628253"
"15","transcript_id gene-PA0602; gene_id gene-PA0602","transcript_id gene-PA0603; gene_id gene-PA0603","664549","664783","664637","664745"
"16","transcript_id gene-PA0611; gene_id gene-PA0611; gene_name prtR","transcript_id gene-PA0612; gene_id gene-PA0612; gene_name ptrB","673961","674419","674113","674328"
"17","transcript_id gene-PA0641; gene_id gene-PA0641","transcript_id gene-PA0643; gene_id gene-PA0643","698696","699744","699129","699222"
"18","transcript_id gene-PA0648; gene_id gene-PA0648","transcript_id gene-PA0649; gene_id gene-PA0649; gene_name trpG","703058","703477","703258","703382"
"19","transcript_id rna-PA0668.4; gene_id gene-PA0668.4","transcript_id rna-PA0668.5; gene_id gene-PA0668.5","726993","727136","727039","727107"
"20","transcript_id gene-PA0760; gene_id gene-PA0760","transcript_id gene-PA0761; gene_id gene-PA0761; gene_name nadB","828871","829276","829080","829213"
"21","transcript_id gene-PA0779; gene_id gene-PA0779","transcript_id gene-PA0780; gene_id gene-PA0780; gene_name pruR","848192","848383","848246","848347"
"22","transcript_id gene-PA0821; gene_id gene-PA0821","transcript_id gene-PA0823; gene_id gene-PA0823","898423","898908","898537","898634"
"23","transcript_id gene-PA0848; gene_id gene-PA0848","transcript_id gene-PA0849; gene_id gene-PA0849; gene_name trxB2","927746","927880","927781","927832"
"24","transcript_id gene-PA0938; gene_id gene-PA0938","transcript_id gene-PA0939; gene_id gene-PA0939","1029500","1029825","1029534","1029636"
"25","transcript_id gene-PA0946; gene_id gene-PA0946","transcript_id gene-PA0947; gene_id gene-PA0947","1035075","1035277","1035158","1035248"
"26","transcript_id gene-PA0983; gene_id gene-PA0983","transcript_id gene-PA0984; gene_id gene-PA0984","1065425","1065970","1065683","1065759"
"27","transcript_id gene-PA0995; gene_id gene-PA0995; gene_name ogt","transcript_id gene-PA0996; gene_id gene-PA0996; gene_name pqsA","1077904","1078462","1078191","1078246"
"28","transcript_id rna-PA1013.1; gene_id gene-PA1013.1","transcript_id gene-PA1014; gene_id gene-PA1014","1096956","1097296","1097115","1097241"
"29","transcript_id gene-PA1015; gene_id gene-PA1015","transcript_id gene-PA1016; gene_id gene-PA1016","1099128","1099669","1099489","1099570"
"30","transcript_id gene-PA1028; gene_id gene-PA1028","transcript_id gene-PA1030; gene_id gene-PA1030","1116060","1116635","1116094","1116574"
"31","transcript_id gene-PA1106; gene_id gene-PA1106","transcript_id gene-PA1107; gene_id gene-PA1107","1198551","1198750","1198581","1198669"
"32","transcript_id gene-PA1121; gene_id gene-PA1121; gene_name yfiR","transcript_id gene-PA1123; gene_id gene-PA1123","1215074","1216120","1215285","1215434"
"33","transcript_id gene-PA1189; gene_id gene-PA1189","transcript_id gene-PA1190; gene_id gene-PA1190","1291645","1291813","1291731","1291782"
"34","transcript_id gene-PA1207; gene_id gene-PA1207; gene_name kefB","transcript_id gene-PA1208; gene_id gene-PA1208","1307900","1308067","1307943","1308038"
"35","transcript_id gene-PA1215; gene_id gene-PA1215","transcript_id gene-PA1216; gene_id gene-PA1216","1317202","1317404","1317232","1317375"
"36","transcript_id gene-PA1249; gene_id gene-PA1249; gene_name aprA","transcript_id gene-PA1250; gene_id gene-PA1250; gene_name aprI","1357070","1357317","1357218","1357288"
"37","transcript_id gene-PA1251; gene_id gene-PA1251","transcript_id gene-PA1252; gene_id gene-PA1252","1359350","1359590","1359426","1359554"
