# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "20" "-t" "CDS" "-g" "locus" "-a" "/media/lu/lu202306/ref/PAO1forsRNA.gff" "-o" "counts.txt" "PA0806.1-1.sorted.bam" "PA0806.1-2.sorted.bam" "PA0982.1-1.sorted.bam" "PA0982.1-2.sorted.bam" "PA1014.1-1.sorted.bam" "PA1014.1-2.sorted.bam" "PA1270.1-1.sorted.bam" "PA1270.1-2.sorted.bam" "PA1367.1-1.sorted.bam" "PA1367.1-2.sorted.bam" "PA2734.1-1.sorted.bam" "PA2734.1-2.sorted.bam" "PA2736.2-1.sorted.bam" "PA2736.2-2.sorted.bam" "PA3471.1-1.sorted.bam" "PA3471.1-2.sorted.bam" "PA4639.1-1.sorted.bam" "PA4639.1-2.sorted.bam" "PA4640.1-1.sorted.bam" "PA4640.1-2.sorted.bam" "PA4642.1-1.sorted.bam" "PA4642.1-2.sorted.bam" "WTEV-1-1.sorted.bam" "WTEV-1-2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	PA0806.1-1.sorted.bam	PA0806.1-2.sorted.bam	PA0982.1-1.sorted.bam	PA0982.1-2.sorted.bam	PA1014.1-1.sorted.bam	PA1014.1-2.sorted.bam	PA1270.1-1.sorted.bam	PA1270.1-2.sorted.bam	PA1367.1-1.sorted.bam	PA1367.1-2.sorted.bam	PA2734.1-1.sorted.bam	PA2734.1-2.sorted.bam	PA2736.2-1.sorted.bam	PA2736.2-2.sorted.bam	PA3471.1-1.sorted.bam	PA3471.1-2.sorted.bam	PA4639.1-1.sorted.bam	PA4639.1-2.sorted.bam	PA4640.1-1.sorted.bam	PA4640.1-2.sorted.bam	PA4642.1-1.sorted.bam	PA4642.1-2.sorted.bam	WTEV-1-1.sorted.bam	WTEV-1-2.sorted.bam
PA0001	chromosome	483	2027	+	1545	730	816	1996	2319	582	351	652	593	660	989	440	485	1302	994	654	532	1055	732	960	786	3885	3665	1529	2125
PA0002	chromosome	2056	3159	+	1104	664	627	3058	3467	1010	409	575	501	951	1480	618	577	1224	1133	606	472	1001	623	862	735	4459	4391	1509	2260
PA0003	chromosome	3169	4278	+	1110	425	350	829	968	483	161	377	322	369	591	335	274	527	429	319	306	588	319	518	473	1738	1670	1140	964
PA0004	chromosome	4275	6695	+	2421	1682	1591	7969	8423	2007	884	1337	1325	1958	2746	1411	1309	3218	2481	1444	1276	2270	1496	1992	1749	10658	10467	4228	6425
PA0005	chromosome	7018	7791	-	774	51	39	183	260	330	129	58	41	361	435	248	168	402	332	57	39	54	43	54	64	390	307	331	543
PA0006	chromosome	7803	8339	-	537	36	25	106	116	69	39	23	25	95	127	51	52	116	102	32	19	38	32	33	23	264	292	178	264
PA0007	chromosome	8671	10377	+	1707	98	36	1407	1518	645	301	37	36	800	1045	521	584	1238	1064	56	26	146	31	33	38	411	441	1417	1534
PA0008	chromosome	10434	12488	-	2055	531	554	2403	2557	432	235	437	449	545	731	459	411	1177	914	492	330	746	496	559	516	4651	4871	1813	2089
PA0009	chromosome	12488	13435	-	948	312	240	719	806	229	93	239	233	240	375	192	157	504	493	226	206	446	294	353	269	2007	1918	1029	1521
PA0010	chromosome	13540	14091	+	552	12	9	80	114	74	30	10	1	89	121	64	34	103	52	16	5	18	17	21	14	154	125	135	218
PA0011	chromosome	14235	15122	+	888	44	73	232	249	90	45	35	34	129	154	107	77	207	174	50	37	112	54	70	61	424	358	488	386
PA0012	chromosome	15207	15473	+	267	37	31	92	98	132	38	33	24	106	125	84	56	100	84	14	26	46	20	20	24	159	106	85	221
PA0013	chromosome	15620	16273	+	654	13	8	34	71	61	16	14	12	35	34	13	20	42	53	14	11	30	18	27	18	54	41	51	82
PA0014	chromosome	16335	16607	-	273	1	6	44	50	26	12	4	6	21	11	20	15	6	10	11	4	7	11	10	12	49	52	16	26
PA0015	chromosome	16900	17217	-	318	28	9	175	180	103	33	24	18	105	114	61	39	125	85	25	19	43	24	19	43	242	206	183	158
PA0016	chromosome	17366	18739	-	1374	211	247	579	670	217	83	193	217	277	277	171	126	331	330	227	167	301	244	288	293	885	873	343	569
PA0017	chromosome	18767	20071	-	1305	247	241	555	608	140	84	261	148	218	362	165	134	309	254	195	151	367	285	279	289	830	956	440	493
PA0018	chromosome	20068	21012	-	945	164	143	460	498	183	90	158	132	198	375	127	139	272	241	180	137	278	171	237	219	715	785	446	463
PA0019	chromosome	21067	21573	-	507	292	229	777	805	333	154	192	244	297	512	323	232	528	413	263	212	332	233	244	249	1558	1431	627	1149
PA0020	chromosome	21712	22737	+	1026	219	162	760	874	324	154	160	156	370	461	222	190	414	358	224	146	333	243	294	270	1737	1782	874	1281
PA0021	chromosome	22872	23960	+	1089	2	4	63	44	19	10	8	2	19	26	9	7	10	26	6	2	15	8	14	3	33	40	27	18
PA0022	chromosome	24001	24558	+	558	59	63	344	387	129	59	41	31	140	143	73	71	142	104	28	28	87	34	49	41	254	234	166	190
PA0023	chromosome	24568	25545	-	978	76	40	974	979	109	72	50	33	181	256	111	99	192	172	58	29	107	57	80	69	609	570	209	233
PA0024	chromosome	25736	26653	+	918	407	379	569	503	331	152	412	352	379	522	148	152	439	450	362	351	533	425	528	507	1154	1182	500	470
PA0025	chromosome	26711	27535	+	825	112	139	333	332	99	50	112	104	160	205	70	65	205	175	104	142	189	131	164	141	558	504	183	232
PA0026	chromosome	27646	28632	+	987	141	81	2018	2086	1045	415	136	112	1048	1641	719	620	1568	1221	117	94	174	125	165	199	1905	1882	1098	1165
PA0027	chromosome	28613	29899	+	1287	89	40	1448	1466	382	148	69	42	496	763	369	332	744	651	68	33	122	53	55	56	993	1111	471	566
PA0028	chromosome	29896	30498	+	603	31	41	546	591	143	60	27	18	165	280	132	102	230	206	26	12	44	22	30	28	314	399	185	179
PA0029	chromosome	30502	32055	-	1554	14	13	187	204	108	34	8	10	96	128	53	53	154	100	9	4	22	14	21	18	137	115	89	82
PA0030	chromosome	32060	32983	-	924	8	4	43	50	7	2	8	2	18	14	7	8	29	8	4	0	15	0	0	4	20	43	12	12
PA0031	chromosome	33000	34511	-	1512	18	25	109	121	50	26	8	8	47	61	13	22	57	48	12	12	18	21	4	11	142	129	105	88
PA0032	chromosome	34624	35538	+	915	32	17	97	79	35	14	20	14	51	92	21	10	57	32	17	14	41	23	36	22	157	174	79	72
PA0033	chromosome	35905	36270	-	366	14	12	84	82	26	19	11	15	22	33	42	23	37	45	9	5	20	15	11	9	81	100	53	62
PA0034	chromosome	36278	36901	-	624	12	6	31	36	28	4	13	4	13	24	19	7	35	13	11	6	17	7	12	8	39	74	45	49
PA0035	chromosome	37087	37893	-	807	55	52	519	600	74	33	27	33	96	120	89	53	185	160	34	23	48	47	37	39	566	661	184	194
PA0036	chromosome	37890	39098	-	1209	75	71	745	718	147	56	74	90	166	266	117	77	276	260	55	48	122	65	80	84	1030	1028	333	396
PA0037	chromosome	39202	40089	+	888	23	9	94	74	25	9	23	3	65	52	36	21	44	51	16	15	24	19	28	22	143	154	85	91
PA0038	chromosome	40190	40405	+	216	92	37	777	794	970	424	47	42	906	1319	727	573	1182	1099	59	50	153	29	64	63	417	399	439	590
PA0039	chromosome	40589	40816	+	228	193	128	2211	2264	1860	814	96	97	1739	2266	1334	1236	2451	1971	96	89	238	91	156	98	1121	1132	870	1083
PA0040	chromosome	41113	42801	+	1689	48	25	148	133	46	14	41	40	52	29	24	18	60	37	55	34	83	48	53	65	206	188	107	180
PA0041	chromosome	42914	53521	+	10608	319	191	2685	2877	260	129	176	164	286	326	238	125	348	285	166	161	357	166	181	185	2340	2328	719	789
PA0042	chromosome	56546	56941	+	396	22	18	94	62	51	25	29	12	66	75	20	28	95	44	12	10	21	20	26	14	106	66	100	81
PA0043	chromosome	57212	58594	-	1383	37	17	141	139	85	34	25	15	99	170	58	39	135	109	32	17	50	26	44	35	181	220	165	139
PA0044	chromosome	58786	60159	+	1374	154	49	520	604	418	181	50	40	412	668	499	417	931	738	45	44	167	45	39	59	646	598	1464	1236
PA0045	chromosome	60656	61342	+	687	171	179	298	315	38	40	173	145	43	76	66	51	121	77	173	144	227	143	181	166	1078	1151	529	799
PA0046	chromosome	61373	61726	+	354	98	72	232	276	19	4	67	75	27	51	14	38	46	47	72	64	112	62	105	60	721	791	359	351
PA0047	chromosome	61879	62388	+	510	68	82	427	425	60	16	75	56	30	43	45	26	66	46	33	54	79	54	53	60	762	844	190	269
PA0048	chromosome	62403	62786	-	384	32	15	1129	1081	45	19	25	25	33	79	26	21	48	48	17	11	31	8	19	13	367	371	128	97
PA0049	chromosome	63068	64729	-	1662	29	29	10389	11559	284	153	39	34	351	459	219	189	477	407	19	20	37	33	23	30	2732	2888	1049	1476
PA0050	chromosome	65339	65479	+	141	83	10	928	1008	1176	422	25	12	896	1325	766	618	1247	860	21	0	124	18	29	12	116	137	1107	940
PA0051	chromosome	66303	68135	+	1833	15	4	233	215	447	212	6	2	488	671	317	272	549	453	0	1	21	12	5	8	49	73	326	357
PA0052	chromosome	68188	68616	-	429	12	2	425	503	663	326	5	7	778	1229	498	430	895	803	0	6	10	2	2	6	123	114	184	190
PA0053	chromosome	69272	69526	+	255	55	28	129	147	102	25	41	28	93	119	71	55	123	93	24	25	69	30	46	36	180	194	62	123
PA0054	chromosome	69543	70091	-	549	28	36	173	181	96	59	43	24	115	171	68	48	117	102	36	13	43	22	30	40	214	249	179	135
