"","prev.gene","next.gene","start","end","V5","V6"
"1","transcript_id gene-PA0041; gene_id gene-PA0041","transcript_id gene-PA0041a; gene_id gene-PA0041a","53521","54121","53556","53838"
"2","transcript_id gene-PA0041a; gene_id gene-PA0041a","transcript_id gene-PA0042; gene_id gene-PA0042","54822","56546","55356","55407"
"3","transcript_id gene-PA0049; gene_id gene-PA0049","transcript_id gene-PA0050; gene_id gene-PA0050","64729","65339","64871","64991"
"4","transcript_id gene-PA0052; gene_id gene-PA0052","transcript_id gene-PA0054; gene_id gene-PA0054","68616","69543","68872","69202"
"5","transcript_id gene-PA0135; gene_id gene-PA0135","transcript_id gene-PA0136; gene_id gene-PA0136","153836","154417","154253","154366"
"6","transcript_id gene-PA0158; gene_id gene-PA0158","transcript_id gene-PA0159; gene_id gene-PA0159","182569","182768","182599","182684"
"7","transcript_id gene-PA0217; gene_id gene-PA0217","transcript_id gene-PA0218; gene_id gene-PA0218","245619","245948","245676","245786"
"8","transcript_id gene-PA0241; gene_id gene-PA0241","transcript_id gene-PA0242; gene_id gene-PA0242","273229","273775","273262","273323"
"9","transcript_id gene-PA0322; gene_id gene-PA0322","transcript_id gene-PA0323; gene_id gene-PA0323","362857","363278","363049","363101"
"10","transcript_id gene-PA0444; gene_id gene-PA0444","transcript_id gene-PA0445; gene_id gene-PA0445","499703","500104","499870","500015"
"11","transcript_id gene-PA0574; gene_id gene-PA0574","transcript_id rna-PA0574.1; gene_id gene-PA0574.1","629884","630434","630205","630259"
"12","transcript_id gene-PA0738; gene_id gene-PA0738","transcript_id gene-PA0739; gene_id gene-PA0739","805473","805788","805648","805735"
"13","transcript_id gene-PA0806; gene_id gene-PA0806","transcript_id gene-PA0807; gene_id gene-PA0807; gene_name ampDh3","884172","884799","884458","884591"
"14","transcript_id gene-PA0844; gene_id gene-PA0844; gene_name plcH","transcript_id gene-PA0845; gene_id gene-PA0845","921450","921792","921548","921763"
"15","transcript_id gene-PA0981; gene_id gene-PA0981","transcript_id gene-PA0982; gene_id gene-PA0982","1063544","1064555","1063695","1063783"
"16","transcript_id gene-PA0983; gene_id gene-PA0983","transcript_id gene-PA0984; gene_id gene-PA0984","1065425","1065970","1065777","1065877"
"17","transcript_id gene-PA0985; gene_id gene-PA0985; gene_name pyoS5","transcript_id gene-PA0986; gene_id gene-PA0986","1067817","1068193","1067958","1068164"
"18","transcript_id gene-PA0990; gene_id gene-PA0990","transcript_id gene-PA0992; gene_id gene-PA0992; gene_name cupC1","1071877","1073285","1073047","1073098"
"19","transcript_id rna-PA1013.1; gene_id gene-PA1013.1","transcript_id gene-PA1014; gene_id gene-PA1014","1096956","1097296","1097055","1097248"
"20","transcript_id gene-PA1015; gene_id gene-PA1015","transcript_id gene-PA1016; gene_id gene-PA1016","1099128","1099669","1099396","1099513"
"21","transcript_id gene-PA1121; gene_id gene-PA1121; gene_name yfiR","transcript_id gene-PA1123; gene_id gene-PA1123","1215074","1216120","1215289","1215995"
"22","transcript_id gene-PA1144; gene_id gene-PA1144","transcript_id gene-PA1145; gene_id gene-PA1145","1236150","1236644","1236187","1236285"
"23","transcript_id gene-PA1149; gene_id gene-PA1149","transcript_id gene-PA1150; gene_id gene-PA1150; gene_name pys2","1243118","1243594","1243244","1243395"
"24","transcript_id gene-PA1221; gene_id gene-PA1221","transcript_id gene-PA1222; gene_id gene-PA1222","1324109","1324793","1324149","1324290"
"25","transcript_id gene-PA1260; gene_id gene-PA1260","transcript_id gene-PA1261; gene_id gene-PA1261","1369160","1369418","1369237","1369380"
"26","transcript_id gene-PA1270; gene_id gene-PA1270","transcript_id gene-PA1271; gene_id gene-PA1271","1381452","1381804","1381641","1381693"
"27","transcript_id gene-PA1366; gene_id gene-PA1366","transcript_id gene-PA1367; gene_id gene-PA1367","1479791","1480215","1479854","1480014"
"28","transcript_id gene-PA1393; gene_id gene-PA1393; gene_name cysC","transcript_id gene-PA1394; gene_id gene-PA1394","1515927","1516433","1516088","1516184"
"29","transcript_id gene-PA1404; gene_id gene-PA1404","transcript_id gene-PA1405; gene_id gene-PA1405","1526657","1527191","1526863","1526964"
"30","transcript_id gene-PA1434; gene_id gene-PA1434","transcript_id gene-PA1435; gene_id gene-PA1435","1562632","1562813","1562683","1562769"
"31","transcript_id gene-PA1503; gene_id gene-PA1503","transcript_id gene-PA1504; gene_id gene-PA1504","1633437","1633842","1633478","1633668"
"32","transcript_id gene-PA1541; gene_id gene-PA1541","transcript_id gene-PA1542; gene_id gene-PA1542","1678952","1679361","1679021","1679136"
"33","transcript_id gene-PA1566; gene_id gene-PA1566","transcript_id gene-PA1567; gene_id gene-PA1567","1707536","1708004","1707712","1707858"
"34","transcript_id gene-PA1655; gene_id gene-PA1655","transcript_id gene-PA1656; gene_id gene-PA1656","1802453","1803626","1802483","1802568"
"35","transcript_id gene-PA1735; gene_id gene-PA1735","transcript_id gene-PA1736; gene_id gene-PA1736","1878409","1878980","1878574","1878929"
"36","transcript_id gene-PA1888; gene_id gene-PA1888","transcript_id gene-PA1889; gene_id gene-PA1889","2059339","2059569","2059398","2059465"
"37","transcript_id gene-PA1978; gene_id gene-PA1978","transcript_id gene-PA1979; gene_id gene-PA1979; gene_name eraS","2164548","2165213","2164641","2164792"
"38","transcript_id gene-PA2035; gene_id gene-PA2035","transcript_id gene-PA2036; gene_id gene-PA2036","2226144","2226879","2226619","2226690"
"39","transcript_id gene-PA2039; gene_id gene-PA2039","transcript_id gene-PA2040; gene_id gene-PA2040","2230183","2230689","2230297","2230413"
"40","transcript_id gene-PA2045; gene_id gene-PA2045","transcript_id gene-PA2047; gene_id gene-PA2047","2238801","2240302","2240060","2240255"
"41","transcript_id gene-PA2075; gene_id gene-PA2075","transcript_id gene-PA2076; gene_id gene-PA2076","2281578","2282480","2282307","2282451"
"42","transcript_id gene-PA2117; gene_id gene-PA2117","transcript_id gene-PA2118; gene_id gene-PA2118; gene_name ada","2329156","2329348","2329228","2329319"
"43","transcript_id gene-PA2166; gene_id gene-PA2166","transcript_id gene-PA2167; gene_id gene-PA2167","2390620","2390949","2390834","2390885"
"44","transcript_id gene-PA2191; gene_id gene-PA2191; gene_name exoY","transcript_id gene-PA2192; gene_id gene-PA2192","2411480","2411709","2411583","2411680"
"45","transcript_id gene-PA2221; gene_id gene-PA2221","transcript_id gene-PA2222; gene_id gene-PA2222","2444366","2444886","2444396","2444530"
"46","transcript_id gene-PA2244; gene_id gene-PA2244; gene_name pslN","transcript_id gene-PA2246; gene_id gene-PA2246; gene_name bkdR","2472076","2472442","2472121","2472381"
"47","transcript_id gene-PA2253; gene_id gene-PA2253; gene_name ansA","transcript_id gene-PA2254; gene_id gene-PA2254; gene_name pvcA","2481830","2482045","2481899","2482016"
"48","transcript_id gene-PA2334; gene_id gene-PA2334","transcript_id gene-PA2335; gene_id gene-PA2335","2577000","2577150","2577056","2577107"
"49","transcript_id gene-PA2371; gene_id gene-PA2371","transcript_id gene-PA2373; gene_id gene-PA2373","2623262","2624204","2623840","2623942"
"50","transcript_id gene-PA2423; gene_id gene-PA2423","transcript_id gene-PA2424; gene_id gene-PA2424; gene_name pvdL","2707181","2707666","2707301","2707462"
"51","transcript_id gene-PA2450; gene_id gene-PA2450","transcript_id gene-PA2453; gene_id gene-PA2453","2752662","2754602","2753347","2753414"
"52","transcript_id gene-PA2583; gene_id gene-PA2583","transcript_id rna-PA2583.1; gene_id gene-PA2583.1","2922569","2923222","2922856","2923126"
"53","transcript_id gene-PA2711; gene_id gene-PA2711","transcript_id gene-PA2712; gene_id gene-PA2712","3065876","3066296","3066000","3066206"
"54","transcript_id gene-PA2713; gene_id gene-PA2713","transcript_id gene-PA2714; gene_id gene-PA2714","3067686","3068040","3067812","3067867"
"55","transcript_id gene-PA2736; gene_id gene-PA2736","transcript_id rna-PA2736.1; gene_id gene-PA2736.1","3098979","3099306","3099039","3099206"
"56","transcript_id gene-PA2748; gene_id gene-PA2748","transcript_id gene-PA2749; gene_id gene-PA2749; gene_name endA","3110525","3110901","3110616","3110735"
"57","transcript_id gene-PA2751; gene_id gene-PA2751","transcript_id gene-PA2752; gene_id gene-PA2752","3113777","3114240","3113997","3114176"
"58","transcript_id gene-PA2763a; gene_id gene-PA2763a","transcript_id gene-PA2764; gene_id gene-PA2764","3123044","3123599","3123131","3123295"
"59","transcript_id gene-PA2770; gene_id gene-PA2770","transcript_id gene-PA2771; gene_id gene-PA2771","3129071","3129729","3129211","3129422"
"60","transcript_id gene-PA2906; gene_id gene-PA2906","transcript_id gene-PA2907; gene_id gene-PA2907; gene_name cobL","3261185","3261522","3261215","3261354"
"61","transcript_id gene-PA2910; gene_id gene-PA2910","transcript_id gene-PA2911; gene_id gene-PA2911","3265211","3265848","3265606","3265740"
"62","transcript_id gene-PA2928; gene_id gene-PA2928","transcript_id gene-PA2929; gene_id gene-PA2929","3284598","3285007","3284628","3284978"
"63","transcript_id gene-PA2975; gene_id gene-PA2975; gene_name rluC","transcript_id gene-PA2976; gene_id gene-PA2976; gene_name rne","3332304","3332881","3332580","3332814"
"64","transcript_id gene-PA3322; gene_id gene-PA3322","transcript_id gene-PA3323; gene_id gene-PA3323","3725154","3725580","3725366","3725417"
"65","transcript_id gene-PA3347; gene_id gene-PA3347","transcript_id gene-PA3348; gene_id gene-PA3348","3759681","3759996","3759826","3759907"
"66","transcript_id gene-PA3463; gene_id gene-PA3463","transcript_id gene-PA3464; gene_id gene-PA3464","3873836","3874654","3874481","3874573"
"67","transcript_id gene-PA3471; gene_id gene-PA3471","transcript_id gene-PA3472; gene_id gene-PA3472","3885254","3885711","3885544","3885658"
"68","transcript_id gene-PA3479; gene_id gene-PA3479; gene_name rhlA","transcript_id gene-PA3480; gene_id gene-PA3480","3893008","3893432","3893064","3893188"
"69","transcript_id gene-PA3502; gene_id gene-PA3502","transcript_id gene-PA3504; gene_id gene-PA3504","3918788","3919774","3919148","3919199"
"70","transcript_id gene-PA3514; gene_id gene-PA3514","transcript_id gene-PA3515; gene_id gene-PA3515","3930230","3930743","3930304","3930629"
"71","transcript_id gene-PA3519; gene_id gene-PA3519","transcript_id gene-PA3520; gene_id gene-PA3520","3936837","3937238","3937106","3937209"
"72","transcript_id gene-PA3520; gene_id gene-PA3520","transcript_id gene-PA3521; gene_id gene-PA3521","3937432","3938020","3937558","3937709"
"73","transcript_id gene-PA3577; gene_id gene-PA3577","transcript_id gene-PA3578; gene_id gene-PA3578","4009051","4009542","4009163","4009404"
"74","transcript_id gene-PA3865; gene_id gene-PA3865","transcript_id gene-PA3865a; gene_id gene-PA3865a","4326395","4327395","4326611","4326671"
"75","transcript_id gene-PA3930; gene_id gene-PA3930; gene_name cioA","transcript_id gene-PA3931; gene_id gene-PA3931","4406368","4406806","4406400","4406468"
"76","transcript_id gene-PA3963a; gene_id gene-PA3963a","transcript_id gene-PA3965; gene_id gene-PA3965","4444530","4444978","4444740","4444825"
"77","transcript_id gene-PA3990; gene_id gene-PA3990","transcript_id gene-PA3992; gene_id gene-PA3992","4471555","4472131","4471593","4471850"
"78","transcript_id gene-PA4036; gene_id gene-PA4036","transcript_id gene-PA4037; gene_id gene-PA4037","4518870","4519275","4518958","4519098"
"79","transcript_id gene-PA4057; gene_id gene-PA4057; gene_name nrdR","transcript_id gene-PA4060; gene_id gene-PA4060","4538503","4539539","4538698","4539451"
"80","transcript_id gene-PA4080; gene_id gene-PA4080","transcript_id gene-PA4081; gene_id gene-PA4081; gene_name cupB6","4559650","4560295","4560016","4560184"
"81","transcript_id gene-PA4209; gene_id gene-PA4209; gene_name phzM","transcript_id gene-PA4210; gene_id gene-PA4210; gene_name phzA1","4713099","4713796","4713578","4713637"
"82","transcript_id gene-PA4359; gene_id gene-PA4359","transcript_id gene-PA4360a; gene_id gene-PA4360a","4887506","4888848","4887726","4888540"
"83","transcript_id gene-PA4373; gene_id gene-PA4373","transcript_id gene-PA4374; gene_id gene-PA4374","4903296","4903466","4903326","4903405"
"84","transcript_id gene-PA4573; gene_id gene-PA4573","transcript_id gene-PA4574; gene_id gene-PA4574","5121642","5121899","5121672","5121810"
"85","transcript_id gene-PA4589; gene_id gene-PA4589","transcript_id gene-PA4590; gene_id gene-PA4590; gene_name pra","5140441","5140701","5140471","5140564"
"86","transcript_id gene-PA4640; gene_id gene-PA4640; gene_name mqoB","transcript_id gene-PA4642; gene_id gene-PA4642","5209987","5210706","5210036","5210458"
"87","transcript_id gene-PA4674; gene_id gene-PA4674","transcript_id gene-PA4675; gene_id gene-PA4675","5242559","5243178","5242634","5242803"
"88","transcript_id gene-PA4696; gene_id gene-PA4696; gene_name ilvI","transcript_id gene-PA4697; gene_id gene-PA4697","5275732","5276283","5275797","5275947"
